Symbol,Company Name
RELIANCE.NS,Reliance Industries
TCS.NS,Tata Consultancy Services
HDFCBANK.NS,HDFC Bank
INFY.NS,Infosys
ICICIBANK.NS,ICICI Bank
HINDUNILVR.NS,Hindustan Unilever
SBIN.NS,State Bank of India
BHARTIARTL.NS,Bharti Airtel
ITC.NS,ITC
KOTAKBANK.NS,Kotak Mahindra Bank
LT.NS,Larsen & Toubro
AXISBANK.NS,Axis Bank
ASIANPAINT.NS,Asian Paints
MARUTI.NS,Maruti Suzuki India
HCLTECH.NS,HCL Technologies
SUNPHARMA.NS,Sun Pharmaceutical Industries
TITAN.NS,Titan Company
BAJFINANCE.NS,Bajaj Finance
WIPRO.NS,Wipro
ULTRACEMCO.NS,UltraTech Cement
ONGC.NS,Oil & Natural Gas Corporation
NTPC.NS,NTPC
TATAMTRDVR.NS,Tata Motors DVR
POWERGRID.NS,Power Grid Corporation of India
M&M.NS,Mahindra & Mahindra
JSWSTEEL.NS,JSW Steel
TATASTEEL.NS,Tata Steel
ADANIENT.NS,Adani Enterprises
ADANIPORTS.NS,Adani Ports and Special Economic Zone
TECHM.NS,Tech Mahindra
INDUSINDBK.NS,IndusInd Bank
COALINDIA.NS,Coal India
BAJAJFINSV.NS,Bajaj Finserv
HINDALCO.NS,Hindalco Industries
GRASIM.NS,Grasim Industries
DIVISLAB.NS,Divi's Laboratories
DRREDDY.NS,Dr. Reddy's Laboratories
CIPLA.NS,Cipla
BPCL.NS,Bharat Petroleum Corporation
EICHERMOT.NS,Eicher Motors
BRITANNIA.NS,Britannia Industries
APOLLOHOSP.NS,Apollo Hospitals Enterprise
NESTLEIND.NS,Nestle India
SBILIFE.NS,SBI Life Insurance Company
HDFCLIFE.NS,HDFC Life Insurance Company
DABUR.NS,Dabur India
GODREJCP.NS,Godrej Consumer Products
HEROMOTOCO.NS,Hero MotoCorp
BAJAJ-AUTO.NS,Bajaj Auto
TATACONSUM.NS,Tata Consumer Products
HAVELLS.NS,Havells India
PIDILITIND.NS,Pidilite Industries
SIEMENS.NS,Siemens
BERGEPAINT.NS,Berger Paints India
AMBUJACEM.NS,Ambuja Cements
ACC.NS,ACC
BANKBARODA.NS,Bank of Baroda
PNB.NS,Punjab National Bank
CANBK.NS,Canara Bank
IDFCFIRSTB.NS,IDFC First Bank
FEDERALBNK.NS,Federal Bank
BANDHANBNK.NS,Bandhan Bank
IOC.NS,Indian Oil Corporation
HINDPETRO.NS,Hindustan Petroleum Corporation
GAIL.NS,GAIL (India)
VEDL.NS,Vedanta
NMDC.NS,NMDC
SAIL.NS,Steel Authority of India
JINDALSTEL.NS,Jindal Steel & Power
TATAPOWER.NS,Tata Power Company
ADANIGREEN.NS,Adani Green Energy
ADANIENSOL.NS,Adani Energy Solutions
TORNTPOWER.NS,Torrent Power
NHPC.NS,NHPC
SJVN.NS,SJVN
PFC.NS,Power Finance Corporation
RECLTD.NS,REC
IRCTC.NS,Indian Railway Catering & Tourism Corporation
IRFC.NS,Indian Railway Finance Corporation
HAL.NS,Hindustan Aeronautics
BEL.NS,Bharat Electronics
BHEL.NS,Bharat Heavy Electricals
DLF.NS,DLF
GODREJPROP.NS,Godrej Properties
OBEROIRLTY.NS,Oberoi Realty
PHOENIXLTD.NS,Phoenix Mills
PRESTIGE.NS,Prestige Estates Projects
PIIND.NS,PI Industries
UPL.NS,UPL
SRF.NS,SRF
ATUL.NS,Atul
DEEPAKNTR.NS,Deepak Nitrite
CHOLAFIN.NS,Cholamandalam Investment and Finance
MUTHOOTFIN.NS,Muthoot Finance
SHRIRAMFIN.NS,Shriram Finance
MANAPPURAM.NS,Manappuram Finance
ICICIPRULI.NS,ICICI Prudential Life Insurance
ICICIGI.NS,ICICI Lombard General Insurance
HDFCAMC.NS,HDFC Asset Management Company
UNITDSPR.NS,United Spirits
TRENT.NS,Trent
PAGEIND.NS,Page Industries
VOLTAS.NS,Voltas
WHIRLPOOL.NS,Whirlpool of India
CROMPTON.NS,Crompton Greaves Consumer Electricals
POLYCAB.NS,Polycab India
CUMMINSIND.NS,Cummins India
ABB.NS,ABB India
LTIM.NS,LTI Mindtree
PERSISTENT.NS,Persistent Systems
COFORGE.NS,Coforge
MPHASIS.NS,Mphasis
LTTS.NS,L&T Technology Services
LUPIN.NS,Lupin
AUROPHARMA.NS,Aurobindo Pharma
BIOCON.NS,Biocon
