Symbol,Company Name
RELIANCE.NS,Reliance Industries
TCS.NS,Tata Consultancy Services
HDFCBANK.NS,HDFC Bank
INFY.NS,Infosys
ICICIBANK.NS,ICICI Bank
HINDUNILVR.NS,Hindustan Unilever
SBIN.NS,State Bank of India
BHARTIARTL.NS,Bharti Airtel
ITC.NS,ITC
KOTAKBANK.NS,Kotak Mahindra Bank
LT.NS,Larsen & Toubro
HCLTECH.NS,HCL Technologies
AXISBANK.NS,Axis Bank
ASIANPAINT.NS,Asian Paints
MARUTI.NS,Maruti Suzuki
SUNPHARMA.NS,Sun Pharma
TITAN.NS,Titan Company
BAJFINANCE.NS,Bajaj Finance
BAJAJFINSV.NS,Bajaj Finserv
WIPRO.NS,Wipro
ONGC.NS,ONGC
NTPC.NS,NTPC
POWERGRID.NS,Power Grid Corp
M&M.NS,Mahindra & Mahindra
ULTRACEMCO.NS,UltraTech Cement
JSWSTEEL.NS,JSW Steel
TECHM.NS,Tech Mahindra
SHREECEM.NS,Shree Cement
INDUSINDBK.NS,IndusInd Bank
ADANIENT.NS,Adani Enterprises
ADANIPORTS.NS,Adani Ports
COALINDIA.NS,Coal India
NESTLEIND.NS,Nestle India
DRREDDY.NS,Dr Reddys Laboratories
CIPLA.NS,Cipla
APOLLOHOSP.NS,Apollo Hospitals
TATASTEEL.NS,Tata Steel
GRASIM.NS,Grasim Industries
BRITANNIA.NS,Britannia Industries
SBILIFE.NS,SBI Life Insurance
DIVISLAB.NS,Divis Laboratories
BAJAJ-AUTO.NS,Bajaj Auto
EICHERMOT.NS,Eicher Motors
HDFCLIFE.NS,HDFC Life Insurance
HEROMOTOCO.NS,Hero MotoCorp
TATACONSUM.NS,Tata Consumer Products
BPCL.NS,Bharat Petroleum
HINDALCO.NS,Hindalco Industries
TORNTPOWER.NS,Torrent Power
SHRIRAMFIN.NS,Shriram Finance
HAVELLS.NS,Havells India
PIDILITIND.NS,Pidilite Industries
DLF.NS,DLF
SIEMENS.NS,Siemens
AMBUJACEM.NS,Ambuja Cements
ADANIGREEN.NS,Adani Green Energy
GODREJCP.NS,Godrej Consumer Products
DABUR.NS,Dabur India
BANKBARODA.NS,Bank of Baroda
IOC.NS,Indian Oil Corp
VEDL.NS,Vedanta
TRENT.NS,Trent
JIOFIN.NS,Jio Financial Services
ABB.NS,ABB India
TVSMOTOR.NS,TVS Motor
ICICIPRULI.NS,ICICI Prudential Life
INDIGO.NS,InterGlobe Aviation
HAL.NS,Hindustan Aeronautics
GAIL.NS,GAIL India
PFC.NS,Power Finance Corp
RECLTD.NS,REC Limited
CANBK.NS,Canara Bank
MARICO.NS,Marico
COLPAL.NS,Colgate Palmolive India
NAUKRI.NS,Info Edge India
BERGEPAINT.NS,Berger Paints
BALKRISIND.NS,Balkrishna Industries
MUTHOOTFIN.NS,Muthoot Finance
SBICARD.NS,SBI Cards
PERSISTENT.NS,Persistent Systems
AUROPHARMA.NS,Aurobindo Pharma
TORNTPHARM.NS,Torrent Pharmaceuticals
MAXHEALTH.NS,Max Healthcare
LUPIN.NS,Lupin
VOLTAS.NS,Voltas
MFSL.NS,Max Financial Services
ACC.NS,ACC
PNB.NS,Punjab National Bank
LICI.NS,LIC India
CHOLAFIN.NS,Cholamandalam Inv & Finance
IDFCFIRSTB.NS,IDFC First Bank
MOTHERSON.NS,Samvardhana Motherson
JINDALSTEL.NS,Jindal Steel & Power
IRCTC.NS,IRCTC
BHEL.NS,BHEL
ZYDUSLIFE.NS,Zydus Lifesciences
POLYCAB.NS,Polycab India
ALKEM.NS,Alkem Laboratories
UNITDSPR.NS,United Spirits
OBEROIRLTY.NS,Oberoi Realty
PAGEIND.NS,Page Industries
PIIND.NS,PI Industries
PETRONET.NS,Petronet LNG
SAIL.NS,Steel Authority of India
NMDC.NS,NMDC
COFORGE.NS,Coforge
LTTS.NS,L&T Technology Services
ASTRAL.NS,Astral
CROMPTON.NS,Crompton Greaves Consumer
CONCOR.NS,Container Corp of India
IPCALAB.NS,IPCA Laboratories
FEDERALBNK.NS,Federal Bank
BIOCON.NS,Biocon
MRF.NS,MRF
ABCAPITAL.NS,Aditya Birla Capital
OFSS.NS,Oracle Financial Services
SUNDARMFIN.NS,Sundaram Finance
LICHSGFIN.NS,LIC Housing Finance
ESCORTS.NS,Escorts Kubota
IDEA.NS,Vodafone Idea
YESBANK.NS,Yes Bank
